stock_code,panel_months,zero_months,units,zero_share
22708,18,0,5225,0.0000
22709,18,2,2774,0.1111
22710,19,0,7109,0.0000
22711,19,0,5277,0.0000
22712,19,1,7016,0.0526
22713,19,0,6033,0.0000
22714,19,0,5244,0.0000
22715,18,0,2717,0.0000
22716,18,0,5123,0.0000
22717,18,0,2402,0.0000
22718,18,0,2593,0.0000
22719,20,6,1467,0.3000
22720,12,0,7314,0.0000
22721,12,0,849,0.0000
22722,13,1,5872,0.0769
22723,12,0,1036,0.0000
22725,15,0,2408,0.0000
22726,15,0,7288,0.0000
22727,15,0,8174,0.0000
22728,15,0,6002,0.0000
22729,15,0,2995,0.0000
22730,15,0,3590,0.0000
22731,15,5,2916,0.3333
22732,15,2,3720,0.1333
22733,15,3,3399,0.2000
22734,15,3,9635,0.2000
22735,15,5,1416,0.3333
22736,15,1,2479,0.0667
22737,15,0,3213,0.0000
22738,15,2,4344,0.1333
22739,15,0,3931,0.0000
22740,15,3,13345,0.2000
22741,15,0,10337,0.0000
22742,16,0,729,0.0000
22743,16,0,1253,0.0000
22744,16,0,1262,0.0000
22745,15,0,3942,0.0000
22746,15,0,2883,0.0000
22747,15,0,2014,0.0000
22748,15,0,4107,0.0000
22749,15,0,3630,0.0000
22750,15,0,3058,0.0000
22751,15,0,2220,0.0000
22752,16,0,3270,0.0000
22753,16,0,2080,0.0000
22754,16,0,3308,0.0000
22755,16,0,3302,0.0000
22756,16,0,1029,0.0000
22757,16,0,2328,0.0000
22758,16,0,1900,0.0000
22759,16,0,9380,0.0000
22760,14,2,356,0.1429
22761,14,1,47,0.0714
22762,14,0,198,0.0000
22763,14,0,649,0.0000
22764,14,10,183,0.7143
22765,14,11,311,0.7857
22766,14,0,4314,0.0000
22767,14,0,979,0.0000
22768,14,0,1112,0.0000
22769,14,10,174,0.7143
22770,14,0,110,0.0000
22771,14,0,7412,0.0000
22772,14,0,4340,0.0000
22773,14,0,2350,0.0000
22774,14,0,2779,0.0000
22775,14,0,3548,0.0000
22776,14,0,1685,0.0000
22777,14,6,455,0.4286
22778,14,0,972,0.0000
22779,14,0,1716,0.0000
22780,14,0,1605,0.0000
22781,14,0,851,0.0000
22782,14,0,249,0.0000
22783,14,6,482,0.4286
22784,14,0,1518,0.0000
22785,14,1,289,0.0714
22786,14,2,232,0.1429
22788,14,5,476,0.3571
22789,14,0,1221,0.0000
22790,14,13,200,0.9286
22791,14,1,8983,0.0714
22792,14,0,3197,0.0000
22794,14,0,381,0.0000
22795,14,2,1530,0.1429
22796,14,0,794,0.0000
22797,14,0,240,0.0000
22798,14,0,2170,0.0000
22799,14,0,223,0.0000
22800,14,0,1098,0.0000
22801,14,0,1253,0.0000
22802,14,1,90,0.0714
22803,14,1,59,0.0714
22804,15,0,5233,0.0000
22805,14,0,2181,0.0000
22806,15,0,364,0.0000
22807,15,0,1271,0.0000
22808,15,4,394,0.2667
22809,15,5,2471,0.3333
22810,15,3,2195,0.2000
22811,15,0,861,0.0000
22812,15,4,4875,0.2667
22813,15,0,3880,0.0000
22814,15,0,2505,0.0000
22815,15,0,3324,0.0000
22816,15,2,6604,0.1333
22817,15,0,3316,0.0000
22818,15,2,6095,0.1333
22819,15,0,3276,0.0000
22820,15,0,1340,0.0000
22821,15,0,1631,0.0000
22822,13,0,578,0.0000
22823,14,2,32,0.1429
22824,13,0,61,0.0000
22825,14,0,100,0.0000
22826,12,2,58,0.1667
22827,14,1,46,0.0714
22828,14,6,17,0.4286
22829,13,0,241,0.0000
22830,14,10,181,0.7143
22831,13,0,764,0.0000
22832,13,0,185,0.0000
22833,13,9,120,0.6923
22834,15,0,6801,0.0000
22835,15,0,5017,0.0000
22837,14,2,3534,0.1429
22838,14,1,913,0.0714
22839,14,0,574,0.0000
22840,14,0,1311,0.0000
22841,14,0,766,0.0000
22842,14,0,817,0.0000
22843,14,0,594,0.0000
22844,14,0,1202,0.0000
22845,14,0,974,0.0000
22846,14,0,800,0.0000
22847,14,1,1138,0.0714
22848,14,1,381,0.0714
22849,14,2,403,0.1429
22850,14,13,8,0.9286
22851,16,0,5147,0.0000
22852,14,0,545,0.0000
22853,14,0,626,0.0000
22854,15,2,1160,0.1333
22855,15,3,4795,0.2000
22856,14,4,877,0.2857
22857,14,5,1230,0.3571
22858,13,5,1135,0.3846
22859,14,1,1250,0.0714
22860,14,5,612,0.3571
22861,12,7,305,0.5833
22862,15,10,758,0.6667
22863,15,0,1098,0.0000
22864,18,17,378,0.9444
22865,15,1,13726,0.0667
22866,15,3,12211,0.2000
22867,15,3,11125,0.2000
22868,14,1,124,0.0714
22869,14,0,167,0.0000
22870,14,0,155,0.0000
22871,14,2,127,0.1429
22872,14,1,134,0.0714
22873,14,1,120,0.0714
22874,14,2,126,0.1429
22875,14,2,121,0.1429
22876,14,3,118,0.2143
22877,14,2,128,0.1429
22878,14,0,128,0.0000
22879,14,2,82,0.1429
22880,14,0,111,0.0000
22881,14,0,111,0.0000
22882,14,0,124,0.0000
22883,14,1,107,0.0714
22884,14,0,110,0.0000
22885,14,1,108,0.0714
22886,14,1,97,0.0714
22887,14,1,91,0.0714
22888,13,1,78,0.0769
22889,14,2,195,0.1429
22890,14,0,794,0.0000
22891,14,0,630,0.0000
22892,14,0,3520,0.0000
22893,14,0,2694,0.0000
22894,15,0,559,0.0000
22895,15,0,2821,0.0000
22896,15,0,2056,0.0000
22897,15,0,1944,0.0000
22898,15,0,3087,0.0000
22899,15,0,2671,0.0000
22900,15,0,6017,0.0000
22902,15,0,1699,0.0000
22903,15,3,730,0.2000
22904,15,0,3467,0.0000
22905,15,0,980,0.0000
22906,15,0,3233,0.0000
22907,15,0,8506,0.0000
22908,15,0,5468,0.0000
22909,15,1,16438,0.0667
22910,15,0,17773,0.0000
22911,15,1,844,0.0667
22912,13,0,313,0.0000
22913,13,0,445,0.0000
22914,13,0,562,0.0000
22915,13,0,2777,0.0000
22916,13,0,1902,0.0000
22917,13,0,1941,0.0000
22918,13,0,1865,0.0000
22919,13,0,1752,0.0000
22920,13,0,3421,0.0000
22921,13,0,1724,0.0000
22922,13,0,1923,0.0000
22923,13,0,1415,0.0000
22924,13,0,1326,0.0000
22925,13,1,488,0.0769
22926,13,6,680,0.4615
22927,13,2,467,0.1538
22928,13,0,282,0.0000
22929,13,5,23,0.3846
22930,12,0,1092,0.0000
22931,12,0,798,0.0000
22932,12,0,868,0.0000
22933,12,2,938,0.1667
22934,12,2,589,0.1667
22935,12,0,684,0.0000
22936,12,0,273,0.0000
22937,12,0,958,0.0000
22938,15,0,3683,0.0000
22939,15,0,650,0.0000
22940,15,0,3410,0.0000
22941,14,3,2435,0.2143
22942,14,7,1084,0.5000
22943,14,0,2362,0.0000
22944,15,4,4744,0.2667
22945,15,1,7599,0.0667
22946,15,2,969,0.1333
22947,15,5,1011,0.3333
22948,15,0,2072,0.0000
22949,15,0,2009,0.0000
22950,15,6,8333,0.4000
22951,15,0,10850,0.0000
22952,15,0,32238,0.0000
22953,13,0,759,0.0000
22954,13,0,238,0.0000
22955,13,0,1388,0.0000
22956,13,0,2389,0.0000
22957,11,5,1775,0.4545
22959,15,6,9512,0.4000
22960,13,0,8763,0.0000
22961,17,3,16236,0.1765
22962,13,0,4316,0.0000
22963,17,3,3658,0.1765
22964,13,0,2659,0.0000
22965,13,0,1814,0.0000
22966,13,0,7950,0.0000
22967,11,5,1165,0.4545
22968,14,0,1125,0.0000
22969,13,0,14231,0.0000
22970,12,0,4248,0.0000
22971,12,0,2393,0.0000
22972,13,0,1839,0.0000
22973,13,0,1290,0.0000
22974,13,0,1603,0.0000
22975,13,0,1225,0.0000
22976,13,0,1100,0.0000
22977,13,0,993,0.0000
22978,10,0,2453,0.0000
22979,9,0,4030,0.0000
22980,10,0,2350,0.0000
22981,9,0,461,0.0000
22982,9,0,1120,0.0000
22983,15,0,6593,0.0000
22984,15,0,3312,0.0000
22985,15,0,4672,0.0000
22986,15,0,5695,0.0000
22987,15,7,252,0.4667
22988,13,1,8930,0.0769
22989,10,0,2766,0.0000
22990,10,0,524,0.0000
22991,10,0,3806,0.0000
22992,10,0,5133,0.0000
22993,10,0,12147,0.0000
22994,10,0,2072,0.0000
22995,10,0,2313,0.0000
22996,10,0,4645,0.0000
22997,10,0,2434,0.0000
22998,10,0,12056,0.0000
22999,10,0,2793,0.0000
23000,10,0,3068,0.0000
23002,10,0,2035,0.0000
23003,10,5,542,0.5000
23004,10,0,1888,0.0000
23005,10,3,4563,0.3000
23006,10,0,1752,0.0000
23007,9,0,484,0.0000
23008,9,0,427,0.0000
23009,9,0,255,0.0000
23010,9,0,308,0.0000
23012,6,0,999,0.0000
23013,6,0,850,0.0000
23014,6,0,825,0.0000
23015,6,0,40,0.0000
23016,6,0,69,0.0000
23017,6,0,64,0.0000
23018,6,0,51,0.0000
23019,6,0,79,0.0000
23020,6,0,176,0.0000
23021,6,0,116,0.0000
23022,6,0,385,0.0000
23023,6,0,268,0.0000
23024,6,0,255,0.0000
23025,6,0,338,0.0000
23026,6,0,550,0.0000
23027,6,0,265,0.0000
23028,6,0,1369,0.0000
23029,6,0,1296,0.0000
23031,6,0,1228,0.0000
23032,6,0,2328,0.0000
23033,6,0,713,0.0000
23034,6,0,968,0.0000
23035,6,0,2075,0.0000
23036,6,0,172,0.0000
23037,6,0,171,0.0000
23038,5,1,41,0.2000
23039,6,0,187,0.0000
23040,8,0,231,0.0000
23041,8,0,253,0.0000
23042,8,0,97,0.0000
23043,7,2,77,0.2857
23044,7,0,100,0.0000
23045,7,1,117,0.1429
23046,7,1,346,0.1429
23047,7,0,58,0.0000
23048,8,0,570,0.0000
23049,9,0,452,0.0000
23050,9,0,488,0.0000
23051,9,0,361,0.0000
23052,9,0,644,0.0000
23053,9,0,357,0.0000
23054,9,0,291,0.0000
23055,8,0,657,0.0000
23056,8,0,963,0.0000
23057,8,0,773,0.0000
23058,3,0,426,0.0000
23060,8,0,227,0.0000
23061,8,0,989,0.0000
23064,8,0,221,0.0000
23065,8,1,273,0.1250
23066,8,1,259,0.1250
23067,8,0,291,0.0000
23068,8,0,792,0.0000
23069,8,0,86,0.0000
23070,7,0,156,0.0000
23071,8,2,315,0.2500
23072,7,1,334,0.1429
23073,8,0,139,0.0000
23074,3,0,228,0.0000
23075,8,0,454,0.0000
23076,9,0,7828,0.0000
23077,9,0,9847,0.0000
23078,9,0,6798,0.0000
23079,7,0,244,0.0000
23080,7,0,791,0.0000
23081,7,0,441,0.0000
23082,7,0,2163,0.0000
23083,7,0,1782,0.0000
23084,7,0,26435,0.0000
23085,7,1,340,0.1429
23086,7,0,1190,0.0000
23087,7,0,859,0.0000
23088,7,0,761,0.0000
23089,7,0,2261,0.0000
23090,7,0,1851,0.0000
23091,7,0,580,0.0000
23092,7,0,501,0.0000
23093,7,0,914,0.0000
23094,7,0,152,0.0000
23096,7,0,1021,0.0000
23099,7,0,128,0.0000
23100,7,0,2054,0.0000
23101,7,0,1997,0.0000
23102,7,0,1268,0.0000
23103,7,0,3874,0.0000
23104,7,0,111,0.0000
23106,7,0,268,0.0000
23107,7,0,322,0.0000
23108,7,0,2092,0.0000
23109,7,0,2152,0.0000
23110,7,0,680,0.0000
23111,7,0,267,0.0000
23112,7,0,511,0.0000
23113,3,0,1145,0.0000
23114,3,0,138,0.0000
23115,3,0,140,0.0000
23116,3,0,74,0.0000
23117,3,0,87,0.0000
23118,7,0,723,0.0000
23119,6,0,2255,0.0000
23120,6,0,1679,0.0000
23121,6,0,2493,0.0000
23122,6,0,2232,0.0000
23123,6,0,905,0.0000
23124,6,0,567,0.0000
23125,6,0,459,0.0000
23126,9,0,1059,0.0000
23127,9,0,696,0.0000
23128,9,0,426,0.0000
23129,7,0,932,0.0000
23130,7,0,927,0.0000
23131,8,0,939,0.0000
23132,8,0,1011,0.0000
23133,8,0,767,0.0000
23134,8,2,1065,0.2500
23135,8,0,1522,0.0000
23136,8,0,124,0.0000
23137,8,0,70,0.0000
23138,8,0,877,0.0000
23139,8,0,382,0.0000
23140,8,0,182,0.0000
23141,8,1,58,0.1250
23142,8,0,121,0.0000
23143,7,3,14,0.4286
23144,8,0,4928,0.0000
23145,8,0,1998,0.0000
23146,8,0,766,0.0000
23147,8,0,1824,0.0000
23148,8,0,2058,0.0000
23149,7,0,99,0.0000
23150,8,0,133,0.0000
23151,7,0,35,0.0000
23152,8,0,551,0.0000
23153,8,0,256,0.0000
23154,9,0,2545,0.0000
23155,9,0,2215,0.0000
23156,9,0,1614,0.0000
23157,9,0,2556,0.0000
23158,9,0,2478,0.0000
23159,9,0,2293,0.0000
23160,7,0,1442,0.0000
23161,7,0,1701,0.0000
23162,8,0,1356,0.0000
23163,8,0,1751,0.0000
23164,7,0,571,0.0000
23165,7,0,2906,0.0000
23166,11,3,77826,0.2727
23167,7,0,5433,0.0000
23168,7,0,3170,0.0000
23169,7,0,1516,0.0000
23170,7,0,6727,0.0000
23171,7,0,6093,0.0000
23172,7,0,3683,0.0000
23173,7,0,2727,0.0000
23174,7,0,3013,0.0000
23175,7,0,3125,0.0000
23176,9,0,2134,0.0000
23177,9,0,2009,0.0000
23178,9,0,309,0.0000
23179,9,0,321,0.0000
23180,9,0,108,0.0000
23181,9,0,191,0.0000
23182,9,0,3688,0.0000
23183,9,0,220,0.0000
23184,9,0,836,0.0000
23185,9,2,308,0.2222
23186,9,2,1928,0.2222
23187,9,2,2338,0.2222
23188,6,0,3200,0.0000
23189,4,0,1189,0.0000
23190,7,0,1663,0.0000
23191,7,0,2119,0.0000
23192,7,0,3293,0.0000
23193,9,0,1515,0.0000
23194,9,0,1798,0.0000
23196,6,0,1808,0.0000
23197,6,0,1325,0.0000
23198,6,0,3138,0.0000
23199,8,0,14668,0.0000
23200,7,0,6947,0.0000
23201,8,0,12735,0.0000
23202,7,0,10451,0.0000
23203,7,0,19819,0.0000
23204,8,0,7610,0.0000
23205,8,0,5672,0.0000
23206,8,0,11953,0.0000
23207,8,0,7717,0.0000
23208,8,0,5977,0.0000
23209,7,0,12714,0.0000
23210,6,0,2718,0.0000
23211,6,0,2197,0.0000
23212,6,0,2118,0.0000
23213,6,0,1582,0.0000
23214,6,0,750,0.0000
23215,6,0,3393,0.0000
23216,6,0,520,0.0000
23217,6,0,1137,0.0000
23218,5,1,373,0.2000
23219,6,0,395,0.0000
23220,6,0,937,0.0000
23221,7,0,1426,0.0000
23222,6,1,746,0.1667
23223,6,0,744,0.0000
23224,6,0,674,0.0000
23225,6,0,1294,0.0000
23226,7,0,1213,0.0000
23227,7,0,1602,0.0000
23228,7,0,1453,0.0000
23229,6,0,1709,0.0000
23230,11,0,7876,0.0000
23231,11,0,7077,0.0000
23232,11,0,8276,0.0000
23233,11,0,5150,0.0000
23234,6,0,1615,0.0000
23235,6,0,656,0.0000
23236,6,0,2465,0.0000
23237,6,0,1009,0.0000
23238,6,0,1690,0.0000
23239,6,0,757,0.0000
23240,6,0,4009,0.0000
23241,6,0,2030,0.0000
23242,6,0,1325,0.0000
23243,6,0,4730,0.0000
23244,6,0,891,0.0000
23245,6,0,6074,0.0000
23247,6,0,2066,0.0000
23249,6,0,831,0.0000
23250,6,0,1096,0.0000
23251,6,0,1612,0.0000
23252,6,0,597,0.0000
23253,8,0,255,0.0000
23254,8,0,1669,0.0000
23255,8,0,980,0.0000
23256,8,0,1993,0.0000
23263,6,0,3656,0.0000
23264,6,0,1779,0.0000
23265,6,0,1631,0.0000
23266,6,0,1904,0.0000
23267,6,0,1148,0.0000
23268,6,0,1447,0.0000
23269,6,0,753,0.0000
23270,6,0,1151,0.0000
23271,6,0,1647,0.0000
23272,6,0,286,0.0000
23273,6,0,912,0.0000
23274,6,0,1124,0.0000
23275,6,0,3427,0.0000
23280,7,0,1828,0.0000
23281,7,0,1133,0.0000
23282,7,0,800,0.0000
23283,8,0,947,0.0000
23284,8,0,5301,0.0000
23285,6,0,4799,0.0000
23286,6,0,5023,0.0000
23287,6,0,1856,0.0000
23288,6,0,4608,0.0000
23289,6,0,1598,0.0000
23290,6,0,2247,0.0000
23291,6,0,1606,0.0000
23292,6,0,2038,0.0000
23293,5,0,7940,0.0000
23294,5,0,4302,0.0000
23295,5,0,5923,0.0000
23296,5,0,4930,0.0000
23297,5,0,4303,0.0000
23298,7,0,8328,0.0000
23299,7,0,1008,0.0000
23300,7,0,6368,0.0000
23301,7,0,8107,0.0000
23302,7,0,1101,0.0000
23303,2,0,53,0.0000
23304,2,0,47,0.0000
23305,2,0,58,0.0000
23306,6,0,2805,0.0000
23307,6,0,11438,0.0000
23308,6,0,5701,0.0000
23309,6,0,7464,0.0000
23310,6,0,11565,0.0000
23311,5,0,2164,0.0000
23312,5,0,1307,0.0000
23313,5,0,2655,0.0000
23314,5,0,383,0.0000
23315,6,0,205,0.0000
23316,6,0,238,0.0000
23317,6,0,165,0.0000
23318,5,0,3580,0.0000
23319,5,0,3527,0.0000
23320,5,0,2307,0.0000
23321,6,0,4539,0.0000
23322,6,0,2996,0.0000
23323,6,0,1333,0.0000
23324,4,0,397,0.0000
23325,4,0,462,0.0000
23326,4,0,3002,0.0000
23327,4,0,1730,0.0000
23328,4,0,2531,0.0000
23329,4,0,1657,0.0000
23330,4,0,1739,0.0000
23331,4,0,1488,0.0000
23332,4,0,1899,0.0000
23333,4,0,1983,0.0000
23334,4,0,2173,0.0000
23335,6,0,351,0.0000
23336,6,0,199,0.0000
23337,6,0,169,0.0000
23338,6,0,336,0.0000
23339,6,0,157,0.0000
23340,5,0,2438,0.0000
23341,6,0,279,0.0000
23342,6,0,365,0.0000
23343,6,0,5301,0.0000
23344,6,0,9200,0.0000
23345,5,0,2373,0.0000
23346,5,0,2568,0.0000
23347,5,0,827,0.0000
23348,8,0,746,0.0000
23349,4,0,2944,0.0000
23350,4,0,2485,0.0000
23351,4,0,3247,0.0000
23352,4,0,1652,0.0000
23353,4,0,3778,0.0000
23354,4,0,3553,0.0000
23355,4,0,5136,0.0000
23356,4,0,2210,0.0000
23357,4,0,367,0.0000
23358,4,0,460,0.0000
23359,4,0,964,0.0000
23360,4,0,1171,0.0000
23365,3,0,1791,0.0000
23366,3,0,2016,0.0000
23367,3,0,2975,0.0000
23368,3,0,2241,0.0000
23369,3,0,1001,0.0000
23370,3,0,1441,0.0000
23371,3,0,1620,0.0000
23372,3,0,1340,0.0000
23373,4,0,1550,0.0000
23374,4,0,2142,0.0000
23375,4,0,1304,0.0000
23376,3,0,2836,0.0000
23377,3,0,1301,0.0000
23378,3,0,3797,0.0000
23379,3,0,1190,0.0000
23380,3,0,2201,0.0000
23381,3,0,1415,0.0000
23382,2,0,1520,0.0000
23388,3,0,786,0.0000
23389,3,0,1063,0.0000
23390,3,0,662,0.0000
23391,3,0,363,0.0000
23392,3,0,611,0.0000
23393,3,0,764,0.0000
23394,3,0,412,0.0000
23395,3,0,694,0.0000
23396,3,0,621,0.0000
23397,3,0,478,0.0000
23398,3,0,533,0.0000
23399,3,0,1871,0.0000
23400,3,0,458,0.0000
23401,3,0,304,0.0000
23402,3,0,278,0.0000
23403,3,0,588,0.0000
23404,3,0,825,0.0000
23405,3,0,231,0.0000
23406,3,0,442,0.0000
23407,3,0,241,0.0000
23408,3,0,297,0.0000
23409,3,0,203,0.0000
23410,3,0,36,0.0000
23411,3,0,221,0.0000
23412,3,1,358,0.3333
23413,3,0,156,0.0000
23414,3,0,141,0.0000
23415,3,0,223,0.0000
23416,3,0,90,0.0000
23417,3,0,71,0.0000
23418,3,0,525,0.0000
23419,3,0,449,0.0000
23420,3,0,163,0.0000
23421,3,0,159,0.0000
23422,3,0,209,0.0000
23423,3,0,209,0.0000
23424,3,0,433,0.0000
23425,3,0,172,0.0000
23426,3,0,1205,0.0000
23427,3,0,234,0.0000
23428,1,0,41,0.0000
23429,1,0,31,0.0000
23430,1,0,21,0.0000
23431,4,0,1437,0.0000
23432,4,0,1228,0.0000
23433,4,0,1230,0.0000
23434,3,0,1941,0.0000
23435,3,0,762,0.0000
23436,4,0,1926,0.0000
23437,4,0,1876,0.0000
23438,4,0,1728,0.0000
23439,4,0,3516,0.0000
23440,1,0,19,0.0000
23441,1,0,20,0.0000
23442,1,0,31,0.0000
23444,7,0,69,0.0000
23445,4,0,2508,0.0000
23446,2,1,13,0.5000
23447,2,1,14,0.5000
23448,2,0,25,0.0000
23449,1,0,12,0.0000
23451,2,0,236,0.0000
23452,2,0,455,0.0000
23453,2,0,283,0.0000
23454,2,0,153,0.0000
23455,2,0,186,0.0000
23456,2,0,151,0.0000
23457,2,0,95,0.0000
23458,2,0,42,0.0000
23459,2,0,28,0.0000
23460,2,0,73,0.0000
23461,3,0,202,0.0000
23462,2,0,78,0.0000
23463,2,0,10,0.0000
23464,2,0,13,0.0000
23465,2,0,28,0.0000
23466,3,0,51,0.0000
23467,2,0,20,0.0000
23468,2,0,19,0.0000
23469,3,0,319,0.0000
23470,2,0,224,0.0000
23471,3,0,62,0.0000
23472,2,0,50,0.0000
23473,2,0,606,0.0000
23474,2,0,258,0.0000
23475,2,0,248,0.0000
23476,2,0,205,0.0000
23477,2,0,92,0.0000
23478,2,0,273,0.0000
23479,2,0,105,0.0000
23480,2,0,1559,0.0000
23481,2,0,204,0.0000
23482,2,0,380,0.0000
23483,2,0,1105,0.0000
23484,3,0,173,0.0000
23485,2,0,251,0.0000
23486,2,0,115,0.0000
23487,2,0,77,0.0000
23489,2,0,747,0.0000
23490,2,0,498,0.0000
23491,2,0,199,0.0000
23492,2,0,69,0.0000
23493,3,0,3520,0.0000
23494,3,0,652,0.0000
23495,2,0,179,0.0000
23496,2,0,82,0.0000
23497,2,0,1517,0.0000
23498,1,0,517,0.0000
23499,2,0,1094,0.0000
23500,2,0,1351,0.0000
23501,2,0,1338,0.0000
23502,3,0,679,0.0000
23503,3,0,3426,0.0000
23504,3,0,1820,0.0000
23505,3,0,1117,0.0000
23506,3,0,2598,0.0000
23507,3,0,2830,0.0000
23508,3,0,2563,0.0000
23509,3,0,1048,0.0000
23510,3,0,2493,0.0000
23511,3,0,552,0.0000
23512,3,0,488,0.0000
23513,3,0,555,0.0000
23514,3,0,465,0.0000
23515,3,0,560,0.0000
23516,3,0,283,0.0000
23517,3,0,326,0.0000
23518,3,0,355,0.0000
23519,3,0,224,0.0000
23520,3,0,160,0.0000
23521,2,0,407,0.0000
23522,2,0,340,0.0000
23523,2,0,346,0.0000
23524,2,0,448,0.0000
23525,2,0,560,0.0000
23526,2,0,837,0.0000
23527,2,0,404,0.0000
23528,2,0,472,0.0000
23529,2,0,630,0.0000
23530,2,0,828,0.0000
23531,2,0,824,0.0000
23532,2,0,196,0.0000
23533,2,0,195,0.0000
23534,2,0,1286,0.0000
23535,2,0,1037,0.0000
23536,2,0,597,0.0000
23537,2,0,110,0.0000
23538,2,0,328,0.0000
23539,2,0,240,0.0000
23540,2,0,149,0.0000
23541,2,0,864,0.0000
23542,2,0,368,0.0000
23543,2,0,512,0.0000
23544,2,0,159,0.0000
23545,5,0,2305,0.0000
23546,5,0,3075,0.0000
23547,5,0,1450,0.0000
23548,5,0,1025,0.0000
23549,5,0,1280,0.0000
23550,5,0,1830,0.0000
23551,3,0,1723,0.0000
23552,1,0,623,0.0000
23553,2,0,428,0.0000
23554,2,0,414,0.0000
23555,2,0,411,0.0000
23556,2,0,424,0.0000
23557,2,0,345,0.0000
23558,2,0,406,0.0000
23559,3,0,563,0.0000
23560,1,0,49,0.0000
23561,1,0,51,0.0000
23562,1,0,33,0.0000
23564,2,0,614,0.0000
23565,2,0,375,0.0000
23566,2,0,703,0.0000
23567,2,0,201,0.0000
23568,2,0,477,0.0000
23569,2,0,696,0.0000
23570,2,0,2364,0.0000
23571,2,0,2611,0.0000
23574,5,0,13,0.0000
23575,1,0,29,0.0000
23576,1,0,40,0.0000
23578,1,0,19,0.0000
23579,2,0,31,0.0000
23580,1,0,42,0.0000
23581,2,0,4331,0.0000
23582,2,0,2701,0.0000
23583,2,0,2997,0.0000
23597,1,0,110,0.0000
23598,1,0,217,0.0000
23601,3,1,8,0.3333
23602,1,0,1,0.0000
23603,2,0,13,0.0000
23604,2,1,4,0.5000
23605,2,1,4,0.5000
23607,3,0,8,0.0000
23608,1,0,3,0.0000
23609,1,0,1,0.0000
23610,3,1,3,0.3333
23611,3,0,36,0.0000
23612,2,0,5,0.0000
23613,3,1,11,0.3333
23614,3,0,18,0.0000
23615,2,0,3,0.0000
23616,1,0,5,0.0000
23617,1,0,2,0.0000
23619,2,0,4,0.0000
23620,3,0,10,0.0000
23621,1,0,2,0.0000
23623,3,0,8,0.0000
23624,3,0,4,0.0000
23625,3,0,8,0.0000
23626,2,0,35,0.0000
23627,1,0,7,0.0000
23628,2,1,1,0.5000
23629,3,0,24,0.0000
23630,3,1,2,0.3333
23632,3,0,15,0.0000
23633,2,0,3,0.0000
23634,3,0,4,0.0000
23635,2,0,2,0.0000
23636,2,0,3,0.0000
23637,3,0,10,0.0000
23638,3,1,2,0.3333
23639,3,0,4,0.0000
23640,3,1,7,0.3333
23643,2,1,1,0.5000
23644,3,0,4,0.0000
23645,2,0,7,0.0000
23646,3,0,8,0.0000
23649,1,0,2,0.0000
23650,3,1,3,0.3333
23652,1,0,2,0.0000
23654,2,0,3,0.0000
23660,2,0,292,0.0000
23661,2,0,206,0.0000
23664,1,0,1,0.0000
23681,1,0,1271,0.0000
23691,1,0,875,0.0000
23692,1,0,50,0.0000
23694,1,0,274,0.0000
23695,1,0,495,0.0000
23697,1,0,358,0.0000
23702,2,0,4,0.0000
30086C,24,23,1,0.9583
35001B,24,21,17,0.8750
35001G,24,2,688,0.0833
35001P,24,23,2,0.9583
35001W,24,11,883,0.4583
35004B,24,0,1464,0.0000
35004C,24,8,3062,0.3333
35004G,24,2,334,0.0833
35004P,24,14,121,0.5833
35004S,24,23,146,0.9583
35015,24,14,2072,0.5833
35051B,24,23,14,0.9583
35071,24,23,50,0.9583
35085E,24,19,39,0.7917
35095A,24,0,1760,0.0000
35095B,24,0,1935,0.0000
35096A,24,20,765,0.8333
35096B,24,20,293,0.8333
35160,24,13,2180,0.5417
35233,24,19,10,0.7917
35240,19,12,49,0.6316
35241,24,6,309,0.2500
35265,19,9,21,0.4737
35271S,24,18,420,0.7500
35400,24,12,1435,0.5000
35443,24,14,16,0.5833
35471A,24,12,421,0.5000
35471D,24,0,2139,0.0000
35537,24,21,13,0.8750
35591T,15,9,17,0.6000
35594,24,14,165,0.5833
35596,14,13,29,0.9286
35597A,15,12,10,0.8000
35597B,24,18,78,0.7500
35597D,24,19,58,0.7917
35598A,24,22,10,0.9167
35598B,24,11,931,0.4583
35598C,24,22,3,0.9167
35598D,24,5,1679,0.2083
35599B,24,14,196,0.5833
35599D,24,9,365,0.3750
35600D,24,18,141,0.7500
35603B,24,23,50,0.9583
35603C,24,19,83,0.7917
35607A,24,14,554,0.5833
35607B,24,14,312,0.5833
35609A,24,17,447,0.7083
35610A,24,19,143,0.7917
35610B,24,18,179,0.7500
35610C,24,19,94,0.7917
35611B,24,22,62,0.9167
35633B,24,20,130,0.8333
35637A,24,4,551,0.1667
35637C,23,10,100,0.4348
35638A,23,17,39,0.7391
35638B,24,15,118,0.6250
35644,22,18,21,0.8182
35645,24,12,61,0.5000
35646,24,8,627,0.3333
35647,24,10,563,0.4167
35648,24,7,1029,0.2917
35649,24,9,1821,0.3750
35650,18,15,3,0.8333
35651,24,11,459,0.4583
35652,24,22,18,0.9167
35653,24,4,311,0.1667
35654,23,18,12,0.7826
35751C,24,23,31,0.9583
35751D,24,23,28,0.9583
35793,24,23,108,0.9583
35809A,24,5,1147,0.2083
35809B,24,14,104,0.5833
35810A,24,1,1205,0.0417
35810B,24,5,325,0.2083
35811A,24,13,434,0.5417
35815B,24,23,95,0.9583
